_ - name,rank,enlabel,gov identfier,award,_ - external_url
Late Ashok Mamtrao kamte,Late ,Ashok Mamtrao Kamte,late-ashok-mamtrao-kamte,Ashok Chakra,http://gallantryawards.gov.in/Awardee/late-ashok-mamtrao-kamte
Late Hemant Kamlakar Karkare,Late ,Hemant Karkare,late-hemant-kamlakar-karkare,Ashok Chakra,http://gallantryawards.gov.in/Awardee/late-hemant-kamlakar-karkare
Late KLVSSHNV Prasad Babu,Late Klvsshnv Prasad Babu,K. Prasad Babu,late-klvsshnv-prasad-babu,Ashok Chakra,http://gallantryawards.gov.in/Awardee/late-klvsshnv-prasad-babu
Late Mohan Chand Sharma,Late ,Mohan Chand Sharma,late-mohan-chand-sharma,Ashok Chakra,http://gallantryawards.gov.in/Awardee/late-mohan-chand-sharma
Late Pramod Kumar Satapathy,Late ,Pramod Kumar Satapathy,late-pramod-kumar-satapathy,Ashok Chakra,http://gallantryawards.gov.in/Awardee/late-pramod-kumar-satapathy
Late Shri R.P Diengdoh,Late Shri R.P Diengdoh,R. P. Diengdoh,late-shri-rp-diengdoh,Ashok Chakra,http://gallantryawards.gov.in/Awardee/late-shri-rp-diengdoh
Late Vijay Shahadev Salaskar,Late ,Vijay Shahadev Salaskar,late-vijay-shahadev-salaskar,Ashok Chakra,http://gallantryawards.gov.in/Awardee/late-vijay-shahadev-salaskar
LT COL HARSH UDAY SINGH GAUR,Lt Col ,Harsh Uday Singh Gaur,harsh-uday-singh-gaur,Ashok Chakra,http://gallantryawards.gov.in/Awardee/harsh-uday-singh-gaur
LT COL JAGANNATH RAOJI CHITNIS,Lt Col ,Jagannath Raoji Chitnis,jagannath-raoji-chitnis,Ashok Chakra,http://gallantryawards.gov.in/Awardee/jagannath-raoji-chitnis
LT COL SHANTI SWARUP RANA,Lt Col ,Shanti Swaroop Rana,shanti-swarup-rana,Ashok Chakra,http://gallantryawards.gov.in/Awardee/shanti-swarup-rana
LT NAVDEEP SINGH,Lt ,Navdeep Singh,navdeep-singh,Ashok Chakra,http://gallantryawards.gov.in/Awardee/navdeep-singh
LT RAM PRAKASH ROPERIA,Lt ,Ram Prakash Roperia,ram-prakash-roperia,Ashok Chakra,http://gallantryawards.gov.in/Awardee/ram-prakash-roperia
LT TRIVENI SINGH,Lt ,Triveni Singh,triveni-singh,Ashok Chakra,http://gallantryawards.gov.in/Awardee/triveni-singh
MAJ BHUKANT MISRA,Maj ,Bhukant Misra,bhukant-misra,Ashok Chakra,http://gallantryawards.gov.in/Awardee/bhukant-misra
MAJ D SREERAM KUMAR,Maj ,D. Sreeram Kumar,d-sreeram-kumar,Ashok Chakra,http://gallantryawards.gov.in/Awardee/d-sreeram-kumar
MAJ DINESH RAGHU RAMAN,Maj ,Dinesh Raghu Raman,dinesh-raghu-raman,Ashok Chakra,http://gallantryawards.gov.in/Awardee/dinesh-raghu-raman
MAJ LAISHRAM JYOTIN SINGH,Maj ,Laishram Jyotin Singh,laishram-jyotin-singh,Ashok Chakra,http://gallantryawards.gov.in/Awardee/laishram-jyotin-singh
"MAJ MOHIT SHARMA, SM","Maj , Sm",Mohit Sharma,mohit-sharma-sm,Ashok Chakra,http://gallantryawards.gov.in/Awardee/mohit-sharma-sm
MAJ MUKUND VARADARAJAN,Maj ,Mukund Varadarajan,mukund-varadarajan,Ashok Chakra,http://gallantryawards.gov.in/Awardee/mukund-varadarajan
"MAJ RAJIV KUMAR JOON, SC","Maj , Sc",Rajiv Kumar Joon,rajiv-kumar-joon-sc,Ashok Chakra,http://gallantryawards.gov.in/Awardee/rajiv-kumar-joon-sc
MAJ SANDEEP UNNIKRISHNAN,Maj ,Sandeep Unnikrishnan,sandeep-unnikrishnan,Ashok Chakra,http://gallantryawards.gov.in/Awardee/sandeep-unnikrishnan
"MAJ SUDHIR KUMAR, SM**","Maj , Sm**",Sudhir Kumar Walia,sudhir-kumar-sm,Ashok Chakra,http://gallantryawards.gov.in/Awardee/sudhir-kumar-sm
MATBAR SINGH NEGI,,Matbar Singh Negi,matbar-singh-negi,Ashok Chakra,http://gallantryawards.gov.in/Awardee/matbar-singh-negi
MR. GENNADY MIKHAILOVICH STREKALOV,Mr. ,Gennadi Strekalov,mr-gennady-mikhailovich-strekalov,Ashok Chakra,http://gallantryawards.gov.in/Awardee/mr-gennady-mikhailovich-strekalov
MUNNI LAL,,Munni Lal,munni-lal,Ashok Chakra,http://gallantryawards.gov.in/Awardee/munni-lal
"NB SUB CHUNNI LAL, VRC, SM","Nb Sub , Vrc, Sm",Chunni Lal,chunni-lal-vrc-sm,Ashok Chakra,http://gallantryawards.gov.in/Awardee/chunni-lal-vrc-sm
NB SUB GURNAM SINGH,Nb Sub ,Gurnam Singh,gurnam-singh,Ashok Chakra,http://gallantryawards.gov.in/Awardee/gurnam-singh
Nb Sub SUJJAN SINGH,Nb Sub ,Sujjan Singh,sujjan-singh,Ashok Chakra,http://gallantryawards.gov.in/Awardee/sujjan-singh
NEERJA MISHRA,,Neerja Bhanot,neerja-mishra,Ashok Chakra,http://gallantryawards.gov.in/Awardee/neerja-mishra
NK BHAWANI DATT JOSHI,Nk ,Bhawani Datt Joshi,bhawani-datt-joshi,Ashok Chakra,http://gallantryawards.gov.in/Awardee/bhawani-datt-joshi
NK NARBAHADUR THAPA,Nk ,Narbahadur Thapa,narbahadur-thapa,Ashok Chakra,http://gallantryawards.gov.in/Awardee/narbahadur-thapa
NK NEERAJ KUMAR SINGH,Nk ,Neeraj Kumar Singh,neeraj-kumar-singh,Ashok Chakra,http://gallantryawards.gov.in/Awardee/neeraj-kumar-singh
NK NIRBHAY SINGH,Nk ,Nirbhay Singh,nirbhay-singh,Ashok Chakra,http://gallantryawards.gov.in/Awardee/nirbhay-singh
NK RAMBEER SINGH TOMAR,Nk ,Rambeer Singh Tomar,rambeer-singh-tomar,Ashok Chakra,http://gallantryawards.gov.in/Awardee/rambeer-singh-tomar
Pramod Kumar Satpathy,,Pramod Kumar Satpathy,pramod-kumar-satpathy,Ashok Chakra,http://gallantryawards.gov.in/Awardee/pramod-kumar-satpathy
PTR SANJOG CHHETRI,Ptr ,Sanjog Chhetri,sanjog-chhetri,Ashok Chakra,http://gallantryawards.gov.in/Awardee/sanjog-chhetri
PURSHOTTAM,,Purshottam,purshottam,Ashok Chakra,http://gallantryawards.gov.in/Awardee/purshottam
RANDHIR PRASAD VERMA,,Randhir Prasad Verma,randhir-prasad-verma,Ashok Chakra,http://gallantryawards.gov.in/Awardee/randhir-prasad-verma
SHANKAR LAL,,Shankar Lal,shankar-lal,Ashok Chakra,http://gallantryawards.gov.in/Awardee/shankar-lal
SQN LDR RAKESH SHARMA,Sqn Ldr ,Rakesh Sharma,sqn-ldr-rakesh-sharma,Ashok Chakra,http://gallantryawards.gov.in/Awardee/sqn-ldr-rakesh-sharma
"SUB MAJ Kharka Bahadur Limbu, MC","Sub Maj , Mc",Kharka Bahadur Limbu,kharka-bahadur-limbu-mc,Ashok Chakra,http://gallantryawards.gov.in/Awardee/kharka-bahadur-limbu-mc
SUB SURINDER SINGH,Sub ,Surinder Singh,surinder-singh,Ashok Chakra,http://gallantryawards.gov.in/Awardee/surinder-singh
SURESH CHAND YADAV,,Suresh Chand Yadav,suresh-chand-yadav,Ashok Chakra,http://gallantryawards.gov.in/Awardee/suresh-chand-yadav
TAKHAT SINGH,,Takhat Singh,takhat-singh,Ashok Chakra,http://gallantryawards.gov.in/Awardee/takhat-singh
TEJ SINGH,,Tej Singh,tej-singh-1,Ashok Chakra,http://gallantryawards.gov.in/Awardee/tej-singh-1
Tukaram Gopal Ombale,,Tukaram Gopal Ombale,tukaram-gopal-ombale,Ashok Chakra,http://gallantryawards.gov.in/Awardee/tukaram-gopal-ombale
VIJAY JAGIRDAR,,Vijay Jagirdar,vijay-jagirdar,Ashok Chakra,http://gallantryawards.gov.in/Awardee/vijay-jagirdar
2/LT PERMINDER SINGH,Second Lieutenant,Perminder Singh,perminder-singh,Kirti Chakra,http://gallantryawards.gov.in/Awardee/perminder-singh
2/LT PRADIPTA NARAYAN MOHAPATRA,Second Lieutenant,Pradipta Narayan Mohapatra,pradipta-narayan-mohapatra,Kirti Chakra,http://gallantryawards.gov.in/Awardee/pradipta-narayan-mohapatra
2/LT RAJ MOHAN SHARMA,Second Lieutenant,Raj Mohan Sharma,raj-mohan-sharma,Kirti Chakra,http://gallantryawards.gov.in/Awardee/raj-mohan-sharma
2/LT RISHI ASHOK MALHOTRA,Second Lieutenant,Rishi Ashok Malhotra,rishi-ashok-malhotra,Kirti Chakra,http://gallantryawards.gov.in/Awardee/rishi-ashok-malhotra
A/MAJ DALCHAND SINGH PRATAP,A/maj ,Dalchand Singh Pratap,dalchand-singh-pratap,Kirti Chakra,http://gallantryawards.gov.in/Awardee/dalchand-singh-pratap
ABDUL RAZAKALI,,Abdul Razakali,abdul-razakali,Kirti Chakra,http://gallantryawards.gov.in/Awardee/abdul-razakali
AE (CIV) RAJ PAL SINGH RANA,Ae (civ) ,Raj Pal Singh Rana,raj-pal-singh-rana,Kirti Chakra,http://gallantryawards.gov.in/Awardee/raj-pal-singh-rana
AE( CIV) PV PURANIK,Ae( Civ) Pv Puranik,P V Puranik,pv-puranik,Kirti Chakra,http://gallantryawards.gov.in/Awardee/pv-puranik
AEE (E&M) S BHAGA PANICKAR,Aee (e&m) S ,Bhaga Panickar,s-bhaga-panickar,Kirti Chakra,http://gallantryawards.gov.in/Awardee/s-bhaga-panickar
AEE (E&M) SDN GAVASKAR,Aee (e&m) Sdn Gavaskar,S D N Gavaskar,sdn-gavaskar,Kirti Chakra,http://gallantryawards.gov.in/Awardee/sdn-gavaskar
AJAB SINGH,,Ajab Singh,ajab-singh,Kirti Chakra,http://gallantryawards.gov.in/Awardee/ajab-singh
AJAY KUMAR KLAIR,,Ajay Kumar Klair,ajay-kumar-klair,Kirti Chakra,http://gallantryawards.gov.in/Awardee/ajay-kumar-klair
AJAZ AHMED,,Ajaz Ahmed,ajaz-ahmed,Kirti Chakra,http://gallantryawards.gov.in/Awardee/ajaz-ahmed
AJIT KUMAR DOVAL,,Ajit Kumar Doval,ajit-kumar-doval,Kirti Chakra,http://gallantryawards.gov.in/Awardee/ajit-kumar-doval
ALAN FREDRICK RICHTOR,,Alan Fredrick Richtor,alan-fredrick-richtor,Kirti Chakra,http://gallantryawards.gov.in/Awardee/alan-fredrick-richtor
ALD KRISHAN DEV KUSHWAH,Ald ,Krishan Dev Kushwah,krishan-dev-kushwah,Kirti Chakra,http://gallantryawards.gov.in/Awardee/krishan-dev-kushwah
ALLIKA VENKATA RAO,,Allika Venkata Rao,allika-venkata-rao,Kirti Chakra,http://gallantryawards.gov.in/Awardee/allika-venkata-rao
Ambadas Ramachandra Powar,,Ambadas Ramachandra Powar,ambadas-ramachandra-powar,Kirti Chakra,http://gallantryawards.gov.in/Awardee/ambadas-ramachandra-powar
ANGAMI,,Angami,angami,Kirti Chakra,http://gallantryawards.gov.in/Awardee/angami
ARUN KHANNA,,Arun Khanna,arun-khanna,Kirti Chakra,http://gallantryawards.gov.in/Awardee/arun-khanna
ARVIND D HEGDE,,Arvind D Hegde,arvind-d-hegde,Kirti Chakra,http://gallantryawards.gov.in/Awardee/arvind-d-hegde
ARVINDAR PAL SINGH,,Arvindar Pal Singh,arvindar-pal-singh,Kirti Chakra,http://gallantryawards.gov.in/Awardee/arvindar-pal-singh
ASHOK KUMAR SHARMA,,Ashok Kumar Sharma,ashok-kumar-sharma-0,Kirti Chakra,http://gallantryawards.gov.in/Awardee/ashok-kumar-sharma-0
ASHOK KUMAR SHARMA,,Ashok Kumar Sharma,ashok-kumar-sharma-1,Kirti Chakra,http://gallantryawards.gov.in/Awardee/ashok-kumar-sharma-1
AYOMO LOTHA,,Ayomo Lotha,ayomo-lotha,Kirti Chakra,http://gallantryawards.gov.in/Awardee/ayomo-lotha
